country,department,municipality,COD,scale,year,respiratory,cardiovascular,chagas,hantavirus,cutaneous_leishmaniasis,visceral_leishmaniasis,malaria
Brasil,RO,Ji-Paraná,BR1100122,municipality,2010,1032,53,NA,NA,41,NA,90
Brasil,RO,Ji-Paraná,BR1100122,municipality,2011,1001,53,NA,NA,34,NA,52
Brasil,RO,Ji-Paraná,BR1100122,municipality,2012,881,32,NA,NA,65,NA,31
Brasil,RO,Ji-Paraná,BR1100122,municipality,2013,814,62,NA,NA,46,NA,21
Brasil,RO,Ji-Paraná,BR1100122,municipality,2014,1032,57,NA,NA,36,NA,5
Brasil,RO,Ji-Paraná,BR1100122,municipality,2015,1112,106,NA,NA,28,NA,4
Brasil,RO,Ji-Paraná,BR1100122,municipality,2016,946,111,NA,NA,21,NA,4
Brasil,RO,Ji-Paraná,BR1100122,municipality,2017,666,100,NA,1,53,NA,1
Brasil,RO,Ji-Paraná,BR1100122,municipality,2018,815,90,NA,NA,49,NA,8
Brasil,RO,Ji-Paraná,BR1100122,municipality,2019,642,101,NA,NA,46,NA,8
Brasil,RO,Ji-Paraná,BR1100122,municipality,2020,312,41,NA,NA,22,NA,NA
Brasil,RO,Ji-Paraná,BR1100122,municipality,2021,319,75,1,NA,54,NA,NA
Brasil,RO,Ji-Paraná,BR1100122,municipality,2022,881,147,NA,NA,37,NA,NA
Brasil,RO,Ji-Paraná,BR1100122,municipality,2023,769,99,NA,NA,NA,NA,NA
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2008,121,NA,NA,NA,30,NA,3061
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2009,148,1,NA,NA,35,NA,3106
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2010,186,2,NA,NA,25,NA,3025
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2011,179,4,NA,NA,52,NA,2154
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2012,137,1,NA,NA,49,NA,1368
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2013,146,4,NA,NA,42,NA,745
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2014,199,17,NA,NA,30,NA,320
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2015,133,10,NA,NA,31,NA,640
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2016,53,16,NA,NA,49,NA,1209
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2017,124,14,NA,NA,58,NA,702
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2018,199,9,NA,NA,31,NA,337
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2019,290,11,NA,NA,33,NA,384
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2020,120,15,1,NA,22,NA,NA
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2021,98,22,NA,NA,34,NA,NA
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2022,289,17,NA,NA,65,NA,NA
Brasil,RO,Machadinho D'Oeste,BR1100130,municipality,2023,288,40,NA,NA,NA,NA,NA
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2008,121,NA,NA,NA,2,NA,26
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2009,187,2,NA,NA,NA,NA,64
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2010,278,7,NA,NA,20,NA,76
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2011,208,2,NA,NA,17,NA,18
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2012,198,5,NA,NA,8,NA,2
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2013,190,1,NA,NA,11,NA,5
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2014,211,8,NA,NA,14,NA,5
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2015,28,3,NA,NA,6,NA,1
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2016,138,8,NA,NA,8,NA,3
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2017,161,9,NA,NA,14,NA,1
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2018,124,11,NA,NA,8,NA,0
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2019,100,10,NA,NA,5,NA,0
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2020,47,15,NA,NA,6,NA,NA
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2021,55,10,NA,NA,15,NA,NA
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2022,189,18,NA,NA,15,NA,NA
Brasil,RO,Nova Brasilândia D'Oeste,BR1100148,municipality,2023,227,11,NA,NA,NA,NA,NA
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2008,227,7,NA,NA,11,NA,25
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2009,550,7,NA,NA,6,NA,8
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2010,567,15,NA,NA,5,NA,10
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2011,361,14,NA,NA,4,NA,9
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2012,251,14,NA,NA,2,NA,13
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2013,478,16,NA,NA,5,NA,7
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2014,378,15,NA,NA,9,NA,4
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2015,467,21,NA,NA,9,NA,2
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2016,383,38,NA,NA,4,NA,15
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2017,321,29,NA,NA,12,NA,2
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2018,424,22,NA,NA,8,NA,4
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2019,439,20,NA,NA,2,NA,0
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2020,165,17,NA,NA,4,NA,NA
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2021,184,33,NA,NA,7,NA,NA
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2022,400,20,NA,NA,9,NA,NA
Brasil,RO,Ouro Preto do Oeste,BR1100155,municipality,2023,456,54,NA,NA,NA,NA,NA
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2008,226,5,NA,NA,29,NA,24
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2009,238,6,NA,NA,47,NA,103
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2010,254,23,NA,NA,35,NA,38
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2011,329,19,NA,NA,31,NA,15
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2012,268,26,NA,NA,42,NA,11
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2013,394,39,NA,NA,55,NA,4
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2014,297,27,NA,NA,66,NA,8
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2015,323,22,NA,NA,48,NA,1
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2016,287,20,NA,NA,76,NA,3
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2017,400,22,NA,NA,40,NA,1
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2018,621,34,NA,NA,52,NA,0
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2019,412,38,NA,NA,31,NA,0
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2020,267,26,NA,NA,49,NA,NA
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2021,166,26,NA,NA,NA,NA,NA
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2022,483,36,NA,NA,NA,NA,NA
Brasil,RO,Pimenta Bueno,BR1100189,municipality,2023,395,48,NA,NA,NA,NA,NA
Brasil,RO,Porto Velho,BR1100205,municipality,2008,599,76,NA,NA,128,NA,22272
Brasil,RO,Porto Velho,BR1100205,municipality,2009,1041,82,NA,NA,114,NA,20216
Brasil,RO,Porto Velho,BR1100205,municipality,2010,1211,121,NA,NA,98,1,23433
Brasil,RO,Porto Velho,BR1100205,municipality,2011,1560,153,NA,NA,77,NA,16549
Brasil,RO,Porto Velho,BR1100205,municipality,2012,1370,149,NA,NA,208,3,15421
Brasil,RO,Porto Velho,BR1100205,municipality,2013,1689,273,NA,1,169,NA,8738
Brasil,RO,Porto Velho,BR1100205,municipality,2014,1825,229,1,1,149,NA,6163
Brasil,RO,Porto Velho,BR1100205,municipality,2015,1782,231,NA,NA,199,NA,3363
Brasil,RO,Porto Velho,BR1100205,municipality,2016,1497,307,NA,1,216,NA,2871
Brasil,RO,Porto Velho,BR1100205,municipality,2017,1563,225,NA,NA,206,NA,2704
Brasil,RO,Porto Velho,BR1100205,municipality,2018,1517,315,1,1,208,NA,3350
Brasil,RO,Porto Velho,BR1100205,municipality,2019,1521,360,1,1,146,NA,5197
Brasil,RO,Porto Velho,BR1100205,municipality,2020,1044,391,NA,NA,115,NA,NA
Brasil,RO,Porto Velho,BR1100205,municipality,2021,799,572,NA,NA,153,NA,NA
Brasil,RO,Porto Velho,BR1100205,municipality,2022,1440,578,NA,NA,115,NA,NA
Brasil,RO,Porto Velho,BR1100205,municipality,2023,1638,559,NA,NA,NA,NA,NA
Brasil,RO,Presidente Médici,BR1100254,municipality,2008,307,4,NA,NA,6,NA,24
Brasil,RO,Presidente Médici,BR1100254,municipality,2009,303,NA,NA,NA,1,NA,21
Brasil,RO,Presidente Médici,BR1100254,municipality,2010,238,3,NA,NA,6,NA,42
Brasil,RO,Presidente Médici,BR1100254,municipality,2011,175,3,NA,NA,2,NA,13
Brasil,RO,Presidente Médici,BR1100254,municipality,2012,161,9,NA,NA,19,NA,2
Brasil,RO,Presidente Médici,BR1100254,municipality,2013,176,4,NA,NA,3,NA,2
Brasil,RO,Presidente Médici,BR1100254,municipality,2014,191,3,NA,NA,8,NA,3
Brasil,RO,Presidente Médici,BR1100254,municipality,2015,234,11,NA,NA,6,NA,0
Brasil,RO,Presidente Médici,BR1100254,municipality,2016,181,13,NA,NA,10,NA,0
Brasil,RO,Presidente Médici,BR1100254,municipality,2017,121,17,NA,NA,10,NA,0
Brasil,RO,Presidente Médici,BR1100254,municipality,2018,123,21,NA,NA,7,NA,1
Brasil,RO,Presidente Médici,BR1100254,municipality,2019,160,12,NA,NA,3,NA,2
Brasil,RO,Presidente Médici,BR1100254,municipality,2020,91,8,NA,NA,5,NA,NA
Brasil,RO,Presidente Médici,BR1100254,municipality,2021,91,13,NA,NA,2,NA,NA
Brasil,RO,Presidente Médici,BR1100254,municipality,2022,118,2,NA,NA,3,NA,NA
Brasil,RO,Presidente Médici,BR1100254,municipality,2023,163,15,NA,NA,NA,NA,NA
Brasil,RO,Rio Crespo,BR1100262,municipality,2008,8,1,NA,NA,11,NA,659
Brasil,RO,Rio Crespo,BR1100262,municipality,2009,3,NA,NA,NA,11,NA,722
